20210923_0/001/000;195,-1
20211210_0/021/000;
20211210_0/021/001;
20211210_0/022/000;
20211210_0/022/001;
20211210_0/022/002;
20211210_0/026/000;
20211210_0/030/000;
20211210_0/030/001;
20211210_0/032/000;
20211210_0/032/001;
20211210_0/032/002;
20211210_0/034/000;
20211210_0/034/001;
20211210_0/038/000;75,-1
20211210_0/042/000;
20211210_0/045/000;
20211210_0/053/000;
20211210_0/054/000;
20211210_1/019/000;
20211210_1/043/000;
20211210_1/056/000;260,-1
20211211_0/012/000;
20211211_0/030/001;
20211211_0/047/000;30,-1
20211211_0/057/003;153,-1
20211005_1/056/000;330,-1
20211006_0/002/001;
20211006_0/013/001;0,12
20211006_0/026/000;0,22
20211006_0/026/001;
20211006_0/040/000;
20211006_0/040/001;
20211006_0/056/000;229,-1
20211006_0/059/000;
20211006_1/001/001;
20211006_1/013/002;
20211006_1/017/003;
20211006_1/025/000;
20211006_1/049/000;67,-1
20211006_1/053/002;39,-1
20211007_0/005/001;37,-1
20211007_0/021/001;0,21
20211007_0/035/000;
20211007_0/035/001;
20211007_0/035/002;
20211007_0/035/003;
20211007_1/009/001;42,-1
20211007_1/056/000;196,-1
20211007_1/059/001;
20211007_2/044/000;
20211007_2/044/001;
20211007_2/044/002;
20211007_2/044/003;
20211007_2/045/000;
20211007_2/056/000;243,-1
20211008_0/010/000;
20211008_0/010/001;
20211008_0/010/002;
20211008_0/010/003;
20211008_0/033/000;172,-1
20211008_0/042/000;
20211008_0/042/001;
20211008_0/046/000;
20211008_0/056/001;214,-1
20211008_1/041/000;
20211008_1/056/001;65,-1
20211008_1/058/000;
20211015_0/044/000;
20211015_0/044/001;
20211015_0/057/003;70,-1
20211015_1/006/000;
20211015_1/050/002;86,-1
20211015_2/001/000;
20211015_2/017/001;0,0
20211015_2/034/000;
20211015_2/056/001;100,-1
20211019_0/022/000;
20211019_1/008/000;
20211019_1/047/000;
20211019_1/047/001;
20211019_1/054/000;
20211019_1/054/004;
20211019_1/059/000;
20211019_2/041/002;
20211019_3/056/000;267,-1
20211019_3/057/002;
20211020_0/038/000;
20211020_0/038/001;
20211020_0/038/002;
20211020_0/038/003;
20211020_0/054/000;193,-1
20211023_0/053/000;
20211023_0/055/000;
20211023_0/055/001;
20211023_0/055/002;
20211023_0/055/003;
20211023_0/055/004;
20211023_0/055/005;
20211025_0/024/000;
20211025_0/024/001;
20211025_0/025/000;
20211025_0/026/000;
20211025_0/026/001;
20211025_0/046/000;
20211025_0/046/001;
20211025_0/046/002;
20211025_1/025/000;
20211025_1/029/000;
20211025_1/029/001;
20211025_1/029/002;
20211025_1/030/000;
20211025_1/031/000;
20211025_1/041/000;
20211025_1/041/001;
20211025_1/041/002;
20211025_1/041/003;
20211025_1/058/000;38,-1
20211029_0/006/002;0,27
20211029_0/014/000;72,-1
20211029_0/014/001;69,-1
20211029_1/056/001;108,-1
20211101_0/010/001;40,-1
20211102_0/059/000;38,-1
20211102_1/057/000;0,13
20211102_2/041/000;
20211102_2/041/001;
